Date,tx_count,active_addresses,tx_volume_usd,hash_rate
2009-05-17,127,127,,6.213783704e-06
2009-05-18,118,118,,6.164073434e-06
2009-05-19,86,86,,4.971026963e-06
2009-05-20,120,120,,5.169868041e-06
2009-05-21,82,82,,4.424213997e-06
2009-05-22,62,62,,4.125952379e-06
2009-05-23,31,31,,3.479718874e-07
2009-05-24,100,100,,4.772185884e-06
2009-05-25,109,109,,5.567550199e-06
2009-05-26,125,125,,5.617260468e-06
2009-05-27,119,119,,6.213783704e-06
2009-05-28,95,95,,5.120157772e-06
2009-05-29,107,107,,5.31899885e-06
2009-05-30,109,109,,5.120157772e-06
2009-05-31,97,97,,5.865811816e-06
2009-06-01,72,73,,3.628849683e-06
2009-06-02,110,110,,4.424213997e-06
2009-06-03,72,72,,4.871606424e-06
2009-06-04,65,65,,1.938700516e-06
2009-06-05,31,31,,2.833485369e-06
2009-06-06,27,,,1.193046471e-06
2009-06-07,16,16,,1.988410785e-07
2009-06-08,82,82,,3.579139413e-06
2009-06-09,91,91,,4.672765345e-06
2009-06-10,82,82,,4.125952379e-06
2009-06-11,89,89,,4.623055076e-06
2009-06-12,86,86,,4.523634536e-06
2009-06-13,78,78,,3.678559953e-06
2009-06-14,72,72,,3.479718874e-06
2009-06-15,84,84,,4.07624211e-06
2009-06-16,71,71,,3.628849683e-06
2009-06-17,79,79,,3.827690761e-06
2009-06-18,80,80,,4.02653184e-06
2009-06-19,87,87,,4.324793458e-06
2009-06-20,78,78,,4.175662649e-06
2009-06-21,81,81,,3.728270222e-06
2009-06-22,77,77,,3.97682157e-06
2009-06-23,76,76,,3.777980492e-06
2009-06-24,97,98,,4.225372919e-06
2009-06-25,69,69,,3.678559953e-06
2009-06-26,90,90,,4.424213997e-06
2009-06-27,84,84,,4.225372919e-06
2009-06-28,47,48,,2.535223751e-06
2009-06-29,84,85,,3.777980492e-06
2009-06-30,86,86,,4.324793458e-06
2009-07-01,75,75,,4.125952379e-06
2009-07-02,84,85,,3.579139413e-06
2009-07-03,82,82,,4.125952379e-06
2009-07-04,89,,,4.424213997e-06
2009-07-05,79,79,,3.97682157e-06
2009-07-06,84,84,,4.523634536e-06
2009-07-07,69,69,,3.131746987e-06
2009-07-08,74,74,,3.927111301e-06
2009-07-09,86,86,,4.02653184e-06
2009-07-10,81,81,,4.07624211e-06
2009-07-11,83,83,,4.175662649e-06
2009-07-12,77,77,,3.777980492e-06
2009-07-13,78,78,,3.777980492e-06
2009-07-14,69,69,,3.579139413e-06
2009-07-15,45,45,,2.286672403e-06
2009-07-16,71,71,,3.430008604e-06
2009-07-17,48,48,,3.231167526e-06
2009-07-18,4,4,,1.491308089e-07
2009-07-19,69,69,,2.584934021e-06
2009-07-20,71,72,,3.728270222e-06
2009-07-21,82,82,,3.678559953e-06
2009-07-22,61,61,,3.430008604e-06
2009-07-23,75,75,,3.280877796e-06
2009-07-24,73,73,,3.728270222e-06
2009-07-25,33,33,,2.63464429e-06
2009-07-26,20,20,,6.462335052e-07
2009-07-27,74,74,,3.181457256e-06
2009-07-28,41,41,,2.187251864e-06
2009-07-29,21,21,,1.590728628e-06
2009-07-30,15,16,,6.959437748e-07
2009-07-31,17,17,,5.965232356e-07
2009-08-01,28,28,,1.143336201e-06
2009-08-02,23,23,,1.491308089e-06
2009-08-03,12,12,,7.456540444e-07
2009-08-04,81,81,,2.883195639e-06
2009-08-05,87,87,,4.523634536e-06
2009-08-06,90,90,,4.772185884e-06
2009-08-07,81,82,,3.678559953e-06
2009-08-08,80,80,,4.07624211e-06
2009-08-09,101,101,,4.871606424e-06
2009-08-10,75,75,,4.07624211e-06
2009-08-11,70,70,,3.330588065e-06
2009-08-12,63,63,,3.380298335e-06
2009-08-13,85,85,,4.02653184e-06
2009-08-14,63,63,,3.231167526e-06
2009-08-15,26,26,,1.690149167e-06
2009-08-16,20,20,,1.242756741e-06
2009-08-17,17,17,,8.450745837e-07
2009-08-18,9,9,,4.473924267e-07
2009-08-19,18,18,,7.456540444e-07
2009-08-20,23,23,,1.193046471e-06
2009-08-21,13,13,,7.953643141e-07
2009-08-22,7,7,,3.97682157e-07
2009-08-23,15,15,,5.965232356e-07
2009-08-24,15,15,,3.97682157e-07
2009-08-25,51,51,,2.73406483e-06
2009-08-26,50,51,,2.087831324e-06
2009-08-27,29,29,,1.491308089e-06
2009-08-28,75,75,,3.181457256e-06
2009-08-29,78,78,,4.125952379e-06
2009-08-30,98,97,,4.473924267e-06
2009-08-31,87,87,,4.672765345e-06
2009-09-01,79,79,,3.927111301e-06
2009-09-02,65,65,,3.380298335e-06
2009-09-03,62,62,,2.982616178e-06
2009-09-04,64,64,,3.131746987e-06
2009-09-05,76,76,,3.529429144e-06
2009-09-06,68,68,,3.579139413e-06
2009-09-07,79,79,,3.877401031e-06
2009-09-08,69,69,,3.280877796e-06
2009-09-09,54,54,,2.883195639e-06
2009-09-10,67,67,,3.032326447e-06
2009-09-11,67,67,,3.380298335e-06
2009-09-12,69,69,,3.529429144e-06
