Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.21791101,0.221791,0.214866,0.21748801,0.21748801,147916992
2017-11-10,0.218256,0.21906801,0.20525999,0.20648301,0.20648301,141032992
2017-11-11,0.205948,0.21445601,0.205459,0.21043,0.21043,134503008
2017-11-12,0.210214,0.210214,0.195389,0.197339,0.197339,251175008
2017-11-13,0.19747201,0.204081,0.197456,0.20344201,0.20344201,132567000
2017-11-14,0.203679,0.21369299,0.203679,0.20982499,0.20982499,127361000
2017-11-15,0.208937,0.21310499,0.208058,0.212956,0.212956,100294000
2017-11-16,0.21265499,0.27179,0.209287,0.227107,0.227107,1022579968
2017-11-17,0.224768,0.239409,0.220273,0.22658101,0.22658101,397071008
2017-11-18,0.226547,0.230399,0.222399,0.228627,0.228627,144298000
2017-11-19,0.22814,0.236231,0.226037,0.231016,0.231016,193808000
2017-11-20,0.231336,0.24343,0.23091701,0.238759,0.238759,214663008
2017-11-21,0.237978,0.24097399,0.2272,0.233271,0.233271,217851008
2017-11-22,0.23264199,0.240848,0.232317,0.238859,0.238859,167078000
2017-11-23,0.23899101,0.25009599,0.237304,0.242402,0.242402,240684992
2017-11-24,0.242851,0.245388,0.23842099,0.244642,0.244642,211486000
2017-11-25,0.244178,0.25569999,0.24358401,0.25239301,0.25239301,212592992
2017-11-26,0.25291401,0.25291401,0.24858899,0.248818,0.248818,133297000
2017-11-27,0.24830499,0.254733,0.247861,0.25392699,0.25392699,196735008
2017-11-28,0.25403699,0.30108401,0.25341499,0.29915199,0.29915199,720742976
2017-11-29,0.297867,0.297867,0.239409,0.243064,0.243064,541177984
2017-11-30,0.246433,0.26152399,0.22958601,0.25087801,0.25087801,270907008
2017-12-01,0.250352,0.25882801,0.239438,0.25569901,0.25569901,182992000
2017-12-02,0.255656,0.25921801,0.250756,0.255492,0.255492,118250000
2017-12-03,0.25553,0.26307201,0.247391,0.25255799,0.25255799,134710000
2017-12-04,0.25291899,0.255362,0.24716,0.253571,0.253571,104650000
