Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,13.9772,14.4961,13.8964,14.2095,14.2095,129201000
2017-11-10,14.1883,15.3535,13.9178,14.6031,14.6031,299856992
2017-11-11,14.6245,19.813299,14.5908,19.4209,19.4209,958982016
2017-11-12,19.4611,21.754101,15.0365,15.1837,15.1837,697452992
2017-11-13,15.3094,16.6626,14.4697,16.1059,16.1059,350880000
2017-11-14,16.0807,18.7358,16.0807,17.865999,17.865999,449737984
2017-11-15,17.8412,17.9182,17.2136,17.548,17.548,149567008
2017-11-16,17.502701,17.502701,16.385599,16.880699,16.880699,182720992
2017-11-17,16.772699,17.5776,16.7621,17.244499,17.244499,150956992
2017-11-18,17.2143,18.121201,16.9979,17.7185,17.7185,159452992
2017-11-19,17.7349,18.072701,17.5835,17.916599,17.916599,110618000
2017-11-20,17.935801,18.6838,17.8381,18.394899,18.394899,147752000
2017-11-21,18.3986,18.473499,17.284201,17.7997,17.7997,186210000
2017-11-22,17.743401,18.1465,17.730801,17.992001,17.992001,93779000
2017-11-23,18.021099,18.774799,17.770901,18.225,18.225,186523008
2017-11-24,18.264299,21.7633,18.066,21.448799,21.448799,373044992
2017-11-25,21.325199,22.747499,20.212799,21.705601,21.705601,370135008
2017-11-26,21.7283,22.613001,21.3456,22.216,22.216,494332992
2017-11-27,22.1577,26.549299,21.703199,25.7535,25.7535,718945024
2017-11-28,25.744499,34.851002,25.596001,33.9828,33.9828,1640679936
2017-11-29,33.985001,34.245701,24.6663,25.4223,25.4223,919393024
2017-11-30,26.005301,29.4412,22.5945,28.188999,28.188999,968075008
2017-12-01,27.9512,31.5434,25.497101,31.203699,31.203699,853734976
2017-12-02,31.181499,32.6576,29.808901,30.7999,30.7999,605113024
2017-12-03,30.7708,31.7908,29.8734,30.4575,30.4575,401675008
2017-12-04,30.442301,30.8839,29.616501,30.396799,30.396799,274351008
2017-12-05,30.399,31.232599,29.583,30.386101,30.386101,331676992
2017-12-06,30.493799,30.5109,27.3139,27.8636,27.8636,407100000
2017-12-07,27.9041,30.0368,26.766199,26.8216,26.8216,449012992
2017-12-08,26.8894,30.0527,25.4461,30.0527,30.0527,581400000
2017-12-09,29.766199,33.049099,26.721701,29.092699,29.092699,585616000
2017-12-10,29.2178,29.2178,24.1991,26.5075,26.5075,463748000
2017-12-11,26.477699,29.4277,26.477699,27.642099,27.642099,470359008
2017-12-12,27.754999,33.388302,27.4161,30.318501,30.318501,819044992
2017-12-13,30.2922,33.2444,27.945601,29.7204,29.7204,688510976
2017-12-14,29.635,34.069199,29.608101,31.961901,31.961901,632755008
2017-12-15,32.023201,32.697601,28.468201,32.085098,32.085098,526729984
2017-12-16,32.027302,39.019501,31.299101,34.7784,34.7784,1104770048
2017-12-17,34.7841,36.4062,34.200699,34.786598,34.786598,428825984
2017-12-18,34.852901,42.403,32.530499,39.397598,39.397598,1072099968
2017-12-19,39.405602,46.2407,38.613098,40.270199,40.270199,931713024
2017-12-20,40.372101,44.855801,37.321201,44.047501,44.047501,920793024
2017-12-21,43.8601,47.774799,39.689098,42.1007,42.1007,825238976
2017-12-22,42.421101,42.683102,23.756901,30.958799,30.958799,817384000
2017-12-23,31.543699,35.1409,31.1257,32.724998,32.724998,385223008
2017-12-24,33.004002,33.004002,28.223101,30.7833,30.7833,316552992
2017-12-25,30.9065,32.4356,30.691099,32.3526,32.3526,258235008
2017-12-26,32.459999,33.987598,31.9694,32.901901,32.901901,317646016
2017-12-27,32.830002,33.216801,31.262199,32.1353,32.1353,217743008
2017-12-28,32.159599,32.240101,28.2815,29.526501,29.526501,307104000
2017-12-29,29.6458,30.665501,28.161301,30.0345,30.0345,239663008
2017-12-30,30.038401,30.038401,26.249701,26.9158,26.9158,241644992
2017-12-31,26.7374,28.427601,26.638599,27.997999,27.997999,169331008
2018-01-01,28.048599,37.031799,27.3239,34.1679,34.1679,870412992
2018-01-02,34.461899,38.034901,34.051201,34.917099,34.917099,615984000
2018-01-03,34.9114,35.5079,32.841801,34.8634,34.8634,910507008
2018-01-04,34.442902,39.354,32.311298,36.318001,36.318001,1733939968
2018-01-05,36.172001,38.283501,35.8974,36.199501,36.199501,517583008
2018-01-06,36.314701,38.986599,35.902,38.424801,38.424801,362468992
2018-01-07,38.440399,42.436501,38.422901,40.793098,40.793098,423276000
2018-01-08,41.121601,44.411098,29.528299,34.186298,34.186298,798928000
2018-01-09,34.091202,39.045601,31.762501,38.321602,38.321602,808371008
2018-01-10,38.128101,39.2654,34.682899,36.952202,36.952202,862859008
2018-01-11,36.906101,37.973701,31.4349,32.7939,32.7939,586657984
2018-01-12,33.061798,37.026699,31.9091,36.4039,36.4039,536064000
2018-01-13,36.1819,43.161999,35.782398,42.393902,42.393902,876580992
2018-01-14,42.893799,46.498299,40.8494,42.957298,42.957298,1314400000
2018-01-15,42.680099,43.699299,40.433601,40.495602,40.495602,615006976
2018-01-16,40.486698,40.490898,23.259399,28.4573,28.4573,699985024
2018-01-17,28.3846,30.3568,22.491699,29.1236,29.1236,598707008
2018-01-18,29.244101,32.8913,28.0236,30.186199,30.186199,455046016
2018-01-19,30.027599,34.341499,29.065201,31.7043,31.7043,394036992
2018-01-20,32.091099,35.559799,32.091099,35.009102,35.009102,418291008
2018-01-21,35.493999,36.209599,29.2806,30.3221,30.3221,381507008
2018-01-22,30.591499,32.8353,26.9228,29.264601,29.264601,321230016
2018-01-23,29.275999,30.1747,26.5453,28.366501,28.366501,230031008
2018-01-24,28.4722,30.543699,28.0844,29.604099,29.604099,187788992
2018-01-25,29.8888,30.391199,28.7878,29.194201,29.194201,162748992
2018-01-26,29.102699,29.685801,26.8209,28.795099,28.795099,198044992
2018-01-27,28.756001,30.134399,28.1541,29.4935,29.4935,127839000
2018-01-28,29.6206,34.4049,29.6206,32.9006,32.9006,350799008
2018-01-29,33.2127,33.6558,30.970699,31.714899,31.714899,197076000
2018-01-30,31.769699,31.770201,26.9778,27.133699,27.133699,235160000
2018-01-31,27.209,28.7572,25.9589,28.7572,28.7572,271852000
2018-02-01,28.7735,28.8815,23.740101,24.969999,24.969999,251254000
2018-02-02,24.953699,24.953699,18.369801,23.0728,23.0728,340095008
2018-02-03,23.1528,24.7363,20.756701,24.196699,24.196699,179080992
2018-02-04,24.188999,24.7272,19.91,21.037399,21.037399,218348000
2018-02-05,20.7616,21.193001,15.895,16.5268,16.5268,171500000
2018-02-06,16.754499,19.421301,14.061,19.3885,19.3885,318212000
2018-02-07,19.1833,20.4524,17.4543,18.157499,18.157499,212987008
2018-02-08,18.1485,21.959299,18.1485,21.793501,21.793501,265155008
2018-02-09,21.8871,26.214899,21.0007,25.997999,25.997999,393048992
2018-02-10,25.9534,26.652901,23.0814,24.515499,24.515499,256180992
2018-02-11,24.531601,26.0007,21.4219,24.129,24.129,378188992
2018-02-12,24.309299,30.330299,24.309299,29.8815,29.8815,541766016
2018-02-13,29.8829,34.731899,28.318199,33.9613,33.9613,1135949952
2018-02-14,34.324001,36.437302,33.396801,35.041801,35.041801,1055340032
2018-02-15,34.827599,35.648701,32.828602,34.531799,34.531799,635228032
2018-02-16,34.431198,35.335499,32.903999,35.034,35.034,456753984
2018-02-17,34.968201,35.400002,34.3759,34.9865,34.9865,418534016
2018-02-18,35.0075,35.076599,31.517099,34.880001,34.880001,456828992
